Feature,Importance
Close,0.6271656516571665
High,0.1256981936440677
ma_5,0.06792034021308214
Low,0.06640544496128839
close_lag_1,0.04886397511719004
Open,0.046018419455650966
ma_10,0.005179232083116241
ma_50,0.004814163519470912
ma_20,0.004367787010052871
close_lag_2,0.0012600195969524135
close_lag_3,0.0008891535324734519
close_lag_10,0.00030654896198184403
close_lag_5,0.0001290727654950203
volume_ma_20,7.405335463225046e-05
volatility_10,7.1138708467292e-05
volatility_5,6.224669258829718e-05
volatility_20,5.510237451703145e-05
volume_ma_10,5.4933158424016124e-05
close_to_ma_50,4.67560988148833e-05
volume_ma_5,4.5855775906184694e-05
daily_range,4.3301077978245454e-05
return_1,3.8797707994826904e-05
return_3,3.696216314907523e-05
return_5,3.557892272787257e-05
low_close_ratio,3.51062052925055e-05
high_close_ratio,3.50500796760484e-05
volume_ratio_10,3.485397699839819e-05
return_20,3.364878403142816e-05
close_lag_20,3.300253444831184e-05
Volume,3.200669533196327e-05
volume_ratio_5,3.1243089068132304e-05
volume_ratio_20,3.081636617462525e-05
close_to_ma_20,2.8379402103434378e-05
return_10,2.795798373106483e-05
close_to_ma_5,2.7617675513392666e-05
close_to_ma_10,2.409519400450486e-05
candle_body,2.231523401735834e-05
open_close_ratio,2.1178226420217153e-05
